Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2007	Mujeres	86	02	Aragón	3768	0,0157427066835017812697136352353862622239
2008	Hombres	86	02	Aragón	-2295	-0,009588511634457693209658384518368225001
2008	Mujeres	86	02	Aragón	3817	0,0159474287183986993382422891967806164832
2009	Hombres	86	02	Aragón	-2294	-0,0095843336337455112082598405599724218529
2009	Mujeres	86	02	Aragón	4108	0,0171632269256436617452185810899593325945
2010	Hombres	86	02	Aragón	-2436	-0,01017760973487535540685308265217646889I5
2010	Mujeres	86	02	Aragón	4162	0,0173888389641014898207399548433327025945
2011	Hombres	86	02	Aragón	-2472	-0,0103280177605139074572006651544253822234
2011	Mujeres	86	02	Aragón	4255	0,0177773930303344159508045429741423953723
2012	Hombres	86	02	Aragón	-5068	-0,0211741076093383830878207811499303548171
2012	Mujeres	86	02	Aragón	8050	0,0336329057330651112582788650862153425963
2013	Hombres	86	02	Aragón	-2509	-0,0104826037868646415089467916150700987048
2013	Mujeres	86	02	Aragón	4312	0,0180155390709287900305215486027031748168
