Año	Población	Comarca código	Comarca nombre
2014	24086,0	07	Somontano de Barbastro
2014	24019,0	08	Cinca Medio
2014	18696,0	09	La Litera / La Llitera
2014	19826,0	10	Los Monegros
2014	24817,0	11	Bajo Cinca / Baix Cinca
2014	14405,0	12	Tarazona y el Moncayo
2014	14600,0	13	Campo de Borja
2014	7168,0	14	Aranda
2014	27379,0	15	Ribera Alta del Ebro
2014	29179,0	16	Valdejalón
2014	743147,0	17	D.C. Zaragoza
2014	9102,0	18	Ribera Baja del Ebro
2014	14994,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	39587,0	20	Comunidad de Calatayud
2014	10663,0	21	Campo de Cariñena
2014	4967,0	22	Campo de Belchite
2014	6689,0	23	Bajo Martín
2014	6026,0	24	Campo de Daroca
2014	13205,0	25	Jiloca
2014	8701,0	26	Cuencas Mineras
2014	10906,0	27	Andorra-Sierra de Arcos
2014	29640,0	28	Bajo Aragón
2014	46724,0	29	Comunidad de Teruel
2014	3402,0	30	Maestrazgo
2014	4690,0	31	Sierra de Albarracín
2014	7917,0	32	Gúdar-Javalambre
2014	8491,0	33	Matarraña / Matarranya
2015	18080,0	01	La Jacetania
2015	13766,0	02	Alto Gállego
2015	7556,0	03	Sobrarbe
2015	12376,0	04	La Ribagorza
2015	31108,0	05	Cinco Villas
2015	67806,0	06	Hoya de Huesca / Plana de Uesca
2015	23925,0	07	Somontano de Barbastro
2015	23979,0	08	Cinca Medio
2015	18516,0	09	La Litera / La Llitera
2015	19566,0	10	Los Monegros
2015	24619,0	11	Bajo Cinca / Baix Cinca
2015	14258,0	12	Tarazona y el Moncayo
2015	14346,0	13	Campo de Borja
2015	7082,0	14	Aranda
2015	27141,0	15	Ribera Alta del Ebro
2015	28763,0	16	Valdejalón
2015	742656,0	17	D.C. Zaragoza
2015	8964,0	18	Ribera Baja del Ebro
2015	14908,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	38362,0	20	Comunidad de Calatayud
2015	10352,0	21	Campo de Cariñena
2015	4885,0	22	Campo de Belchite
2015	6619,0	23	Bajo Martín
2015	5901,0	24	Campo de Daroca
2015	12980,0	25	Jiloca
2015	8591,0	26	Cuencas Mineras
2015	10743,0	27	Andorra-Sierra de Arcos
2015	29410,0	28	Bajo Aragón
2015	46426,0	29	Comunidad de Teruel
2015	3333,0	30	Maestrazgo
2015	4652,0	31	Sierra de Albarracín
2015	7793,0	32	Gúdar-Javalambre
2015	8385,0	33	Matarraña / Matarranya
2016	17863,0	01	La Jacetania
2016	13539,0	02	Alto Gállego
2016	7411,0	03	Sobrarbe
2016	12115,0	04	La Ribagorza
2016	30681,0	05	Cinco Villas
2016	67697,0	06	Hoya de Huesca / Plana de Uesca
2016	23735,0	07	Somontano de Barbastro
2016	23934,0	08	Cinca Medio
2016	18368,0	09	La Litera / La Llitera
2016	19171,0	10	Los Monegros
2016	24457,0	11	Bajo Cinca / Baix Cinca
2016	14106,0	12	Tarazona y el Moncayo
2016	14112,0	13	Campo de Borja
